Image;Tag;Title Lent;Title Lent_link;Game Genre 1;Game Genre 3;Game Date;Game Genre 4
https://stopga.me/images/games/logos/7071/c170x119/7bS4g4GMvT2nQyUegYltgg/silent_hunter.jpg;6.8;Silent Hunter;https://stopgame.ru/game/silent_hunter;simulator;;25 марта 1996 г.;PC
https://stopga.me/images/games/logos/2993/c170x119/bzVlP66RIM4nZqAnV461Pw/top_gun_fire_at_will.jpg;6.8;Top Gun: Fire at Will;https://stopgame.ru/game/top_gun_fire_at_will;simulator;;1996 г.;PC
https://stopga.me/images/games/logos/2043/c170x119/vKbJJ5ypI_mOX-1CKvdWLQ/nba_live_2004.jpg;6.8;NBA Live 2004;https://stopgame.ru/game/nba_live_2004;sport;;14 окт€бр€ 2003 г.;PC
https://stopga.me/images/games/logos/5411/c170x119/sNnB71cRUCypevpkgJXcMQ/nra_varmint_hunter.jpg;6.8;Spy Fox: Operation Ozone;https://stopgame.ru/game/spy_fox_operation_ozone;adventure;for kids;май 2001 г.;PC
https://stopga.me/images/games/logos/4267/c170x119/KpDwIFbXpctHZcEC1mVNRg/1503_ad_treasures_monsters_and_pirates.jpg;6.8;1503 A.D.: Treasures, Monsters and Pirates;https://stopgame.ru/game/1503_ad_treasures_monsters_and_pirates;add-on;strategy;25 ма€ 2004 г.;PC
https://stopga.me/images/games/logos/6078/c170x119/Bcw0UGQxBKQiO3YrIrCYFw/star_trek_klingon_academy.jpg;6.8;Star Trek: Klingon Academy;https://stopgame.ru/game/star_trek_klingon_academy;simulator;;2000 г.;PC
https://stopga.me/images/games/logos/6433/c170x119/v6pvrqblNPiwk2xpNBy6fw/off_road_redneck_racing.jpg;6.8;Anito: Defend a Land Enraged;https://stopgame.ru/game/anito_defend_a_land_enraged;rpg;;12 декабр€ 2003 г.;PC
https://stopga.me/images/games/logos/6809/c170x119/wFu298TkjSJCcJU9TErVqg/padal_proshlogodnij_sneg_2.jpg;6.8;ѕадал прошлогодний снег 2;https://stopgame.ru/game/padal_proshlogodnij_sneg_2;adventure;;18 но€бр€ 2005 г.;PC
https://stopga.me/images/games/logos/7209/c170x119/wUBx7V-C_n4UJUbSzfIOKA/whiteday.jpg;6.8;WhiteDay;https://stopgame.ru/game/whiteday;adventure;;13 феврал€ 2004 г.;PC
https://stopga.me/images/games/logos/7478/c170x119/PEPWRm3a4Slw2Xl_fHOqpQ/freddi_fish_5_the_case_of_the_creature_of_coral_cove.jpg;6.8;Freddi Fish 5: The Case of the Creature of Coral Cove;https://stopgame.ru/game/freddi_fish_5_the_case_of_the_creature_of_coral_cove;adventure;for kids;июнь 2001 г.;PC
